epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727343843093,2024-09-26T12.44.03.093,0.000,-0.323,0.151,1.201
1727343843113,2024-09-26T12.44.03.113,0.020,-0.649,0.211,0.739
1727343843133,2024-09-26T12.44.03.133,0.040,-0.429,0.032,0.469
1727343843153,2024-09-26T12.44.03.153,0.060,0.004,0.052,0.917
1727343843173,2024-09-26T12.44.03.173,0.080,-0.283,0.245,1.500
1727343843193,2024-09-26T12.44.03.193,0.100,-0.651,0.202,0.844
1727343843213,2024-09-26T12.44.03.213,0.120,-0.472,0.050,0.644
1727343843233,2024-09-26T12.44.03.233,0.140,0.061,0.081,0.976
1727343843253,2024-09-26T12.44.03.253,0.160,0.212,0.235,1.333
1727343843273,2024-09-26T12.44.03.273,0.180,0.049,0.238,1.201
1727343843293,2024-09-26T12.44.03.293,0.200,-0.271,0.184,0.824
1727343843313,2024-09-26T12.44.03.313,0.220,-0.269,0.090,0.675
1727343843333,2024-09-26T12.44.03.333,0.240,0.018,0.059,0.931
1727343843353,2024-09-26T12.44.03.353,0.260,0.026,0.126,1.035
1727343843373,2024-09-26T12.44.03.373,0.280,-0.340,0.153,0.862
1727343843393,2024-09-26T12.44.03.393,0.300,-0.437,0.076,0.776
1727343843413,2024-09-26T12.44.03.413,0.320,-0.202,0.002,0.935
1727343843433,2024-09-26T12.44.03.433,0.340,-0.111,0.085,1.084
1727343843453,2024-09-26T12.44.03.453,0.360,-0.122,0.099,1.057
1727343843473,2024-09-26T12.44.03.473,0.380,-0.200,0.056,0.893
1727343843493,2024-09-26T12.44.03.493,0.400,-0.202,0.033,0.906
1727343843513,2024-09-26T12.44.03.513,0.420,-0.107,0.083,1.007
1727343843533,2024-09-26T12.44.03.533,0.440,-0.033,0.110,1.054
1727343843553,2024-09-26T12.44.03.553,0.460,-0.126,0.112,0.919
1727343843573,2024-09-26T12.44.03.573,0.480,-0.240,0.075,0.853
1727343843593,2024-09-26T12.44.03.593,0.500,-0.142,0.082,0.934
1727343843613,2024-09-26T12.44.03.613,0.520,-0.106,0.127,1.029
1727343843633,2024-09-26T12.44.03.633,0.540,-0.043,0.115,0.961
1727343843653,2024-09-26T12.44.03.653,0.560,-0.181,0.099,0.887
1727343843673,2024-09-26T12.44.03.673,0.580,-0.148,0.090,0.918
1727343843693,2024-09-26T12.44.03.693,0.600,-0.121,0.128,0.952
1727343843713,2024-09-26T12.44.03.713,0.620,-0.181,0.123,0.890
1727343843733,2024-09-26T12.44.03.733,0.640,-0.115,0.085,0.845
1727343843753,2024-09-26T12.44.03.753,0.660,0.032,0.094,0.896
1727343843773,2024-09-26T12.44.03.773,0.680,0.139,0.114,0.932
1727343843793,2024-09-26T12.44.03.793,0.700,0.184,0.153,0.866
1727343843813,2024-09-26T12.44.03.813,0.720,0.346,0.166,0.719
1727343843833,2024-09-26T12.44.03.833,0.740,0.595,0.184,0.724
1727343843853,2024-09-26T12.44.03.853,0.760,0.786,0.178,0.759
1727343843873,2024-09-26T12.44.03.873,0.780,0.955,0.158,0.871
1727343843893,2024-09-26T12.44.03.893,0.800,0.700,0.213,0.718
1727343843913,2024-09-26T12.44.03.913,0.820,0.669,0.183,0.428
1727343843933,2024-09-26T12.44.03.933,0.840,0.909,0.078,0.328
1727343843953,2024-09-26T12.44.03.953,0.860,0.972,0.077,0.402
1727343843973,2024-09-26T12.44.03.973,0.880,0.934,0.135,0.509
1727343843993,2024-09-26T12.44.03.993,0.900,0.871,0.120,0.327
1727343844013,2024-09-26T12.44.04.013,0.920,0.861,0.022,-0.029
1727343844033,2024-09-26T12.44.04.033,0.940,1.021,-0.028,-0.004
1727343844053,2024-09-26T12.44.04.053,0.960,1.109,0.029,0.173
1727343844073,2024-09-26T12.44.04.073,0.980,1.172,-0.058,0.199
1727343844093,2024-09-26T12.44.04.093,1.000,1.041,-0.074,0.101
1727343844113,2024-09-26T12.44.04.113,1.020,0.888,-0.044,0.010
1727343844133,2024-09-26T12.44.04.133,1.040,1.083,-0.075,0.020
1727343844153,2024-09-26T12.44.04.153,1.060,1.214,-0.176,0.062
1727343844173,2024-09-26T12.44.04.173,1.080,1.195,-0.196,0.026
1727343844193,2024-09-26T12.44.04.193,1.100,1.046,-0.263,-0.065
1727343844213,2024-09-26T12.44.04.213,1.120,0.959,-0.298,-0.013
1727343844233,2024-09-26T12.44.04.233,1.140,0.984,-0.364,0.133
1727343844253,2024-09-26T12.44.04.253,1.160,0.975,-0.390,0.276
1727343844273,2024-09-26T12.44.04.273,1.180,0.863,-0.371,0.336
1727343844293,2024-09-26T12.44.04.293,1.200,0.661,-0.364,0.365
1727343844313,2024-09-26T12.44.04.313,1.220,0.561,-0.373,0.475
1727343844333,2024-09-26T12.44.04.333,1.240,0.538,-0.396,0.614
1727343844353,2024-09-26T12.44.04.353,1.260,0.502,-0.426,0.677
1727343844373,2024-09-26T12.44.04.373,1.280,0.492,-0.450,0.664
1727343844393,2024-09-26T12.44.04.393,1.300,0.348,-0.376,0.690
1727343844413,2024-09-26T12.44.04.413,1.320,-0.025,-0.247,0.758
1727343844433,2024-09-26T12.44.04.433,1.340,-0.422,-0.167,0.812
1727343844453,2024-09-26T12.44.04.453,1.360,-0.433,-0.177,0.920
1727343844473,2024-09-26T12.44.04.473,1.380,-0.174,-0.146,0.984
1727343844493,2024-09-26T12.44.04.493,1.400,-0.378,-0.124,0.939
1727343844513,2024-09-26T12.44.04.513,1.420,-0.476,-0.171,0.895
1727343844533,2024-09-26T12.44.04.533,1.440,-0.197,-0.202,0.962
1727343844553,2024-09-26T12.44.04.553,1.460,-0.078,-0.174,1.064
1727343844573,2024-09-26T12.44.04.573,1.480,-0.339,-0.115,1.013
1727343844593,2024-09-26T12.44.04.593,1.500,-0.515,-0.017,0.947
1727343844613,2024-09-26T12.44.04.613,1.520,-0.485,0.055,0.849
1727343844633,2024-09-26T12.44.04.633,1.540,-0.394,0.083,0.775
1727343844653,2024-09-26T12.44.04.653,1.560,-0.275,0.046,0.892
1727343844673,2024-09-26T12.44.04.673,1.580,-0.312,0.066,0.984
1727343844693,2024-09-26T12.44.04.693,1.600,-0.407,0.142,0.936
1727343844713,2024-09-26T12.44.04.713,1.620,-0.584,0.163,0.935
1727343844733,2024-09-26T12.44.04.733,1.640,-0.508,0.169,0.857
1727343844753,2024-09-26T12.44.04.753,1.660,-0.058,0.128,0.938
1727343844773,2024-09-26T12.44.04.773,1.680,0.271,0.129,1.327
1727343844793,2024-09-26T12.44.04.793,1.700,0.002,0.192,1.100
1727343844813,2024-09-26T12.44.04.813,1.720,-0.420,0.089,0.678
1727343844833,2024-09-26T12.44.04.833,1.740,0.023,0.060,0.888
1727343844853,2024-09-26T12.44.04.853,1.760,0.282,0.056,1.039
1727343844873,2024-09-26T12.44.04.873,1.780,-0.237,0.174,0.958
1727343844893,2024-09-26T12.44.04.893,1.800,-0.513,0.207,0.842
1727343844913,2024-09-26T12.44.04.913,1.820,-0.229,0.099,0.856
1727343844933,2024-09-26T12.44.04.933,1.840,-0.051,0.072,0.974
1727343844953,2024-09-26T12.44.04.953,1.860,-0.113,0.113,1.032
1727343844973,2024-09-26T12.44.04.973,1.880,-0.247,0.146,0.974
1727343844993,2024-09-26T12.44.04.993,1.900,-0.218,0.116,0.909
1727343845013,2024-09-26T12.44.05.013,1.920,-0.079,0.070,0.950
1727343845033,2024-09-26T12.44.05.033,1.940,-0.021,0.098,1.013
1727343845053,2024-09-26T12.44.05.053,1.960,-0.050,0.125,1.014
1727343845073,2024-09-26T12.44.05.073,1.980,-0.150,0.126,0.926
1727343845093,2024-09-26T12.44.05.093,2.000,-0.132,0.110,0.888
1727343845113,2024-09-26T12.44.05.113,2.020,-0.119,0.096,0.926
1727343845133,2024-09-26T12.44.05.133,2.040,-0.091,0.113,0.987
1727343845153,2024-09-26T12.44.05.153,2.060,-0.066,0.128,1.003
1727343845173,2024-09-26T12.44.05.173,2.080,-0.189,0.132,0.933
1727343845193,2024-09-26T12.44.05.193,2.100,-0.179,0.117,0.924
1727343845213,2024-09-26T12.44.05.213,2.120,-0.177,0.113,0.934
1727343845233,2024-09-26T12.44.05.233,2.140,-0.125,0.130,0.971
1727343845253,2024-09-26T12.44.05.253,2.160,-0.176,0.156,0.941
1727343845273,2024-09-26T12.44.05.273,2.180,-0.175,0.142,0.870
1727343845293,2024-09-26T12.44.05.293,2.200,-0.046,0.120,0.850
1727343845313,2024-09-26T12.44.05.313,2.220,0.111,0.114,0.838
1727343845333,2024-09-26T12.44.05.333,2.240,0.343,0.097,0.814
1727343845353,2024-09-26T12.44.05.353,2.260,0.541,0.080,0.759
1727343845373,2024-09-26T12.44.05.373,2.280,0.638,0.077,0.731
1727343845393,2024-09-26T12.44.05.393,2.300,0.627,0.110,0.693
1727343845413,2024-09-26T12.44.05.413,2.320,0.710,0.119,0.607
1727343845433,2024-09-26T12.44.05.433,2.340,0.847,0.094,0.483
1727343845453,2024-09-26T12.44.05.453,2.360,0.921,0.093,0.349
1727343845473,2024-09-26T12.44.05.473,2.380,0.995,0.088,0.295
1727343845493,2024-09-26T12.44.05.493,2.400,1.097,0.059,0.357
1727343845513,2024-09-26T12.44.05.513,2.420,1.104,0.062,0.345
1727343845533,2024-09-26T12.44.05.533,2.440,1.079,0.010,0.246
1727343845553,2024-09-26T12.44.05.553,2.460,1.143,-0.040,0.142
1727343845573,2024-09-26T12.44.05.573,2.480,1.197,0.013,0.179
1727343845593,2024-09-26T12.44.05.593,2.500,1.160,0.030,0.211
1727343845613,2024-09-26T12.44.05.613,2.520,0.974,-0.009,0.186
1727343845633,2024-09-26T12.44.05.633,2.540,0.887,-0.018,0.186
1727343845653,2024-09-26T12.44.05.653,2.560,1.012,-0.037,0.152
1727343845673,2024-09-26T12.44.05.673,2.580,1.079,-0.115,0.101
1727343845693,2024-09-26T12.44.05.693,2.600,0.960,-0.128,0.104
1727343845713,2024-09-26T12.44.05.713,2.620,0.891,-0.172,0.167
1727343845733,2024-09-26T12.44.05.733,2.640,1.002,-0.225,0.249
1727343845753,2024-09-26T12.44.05.753,2.660,1.021,-0.252,0.288
1727343845773,2024-09-26T12.44.05.773,2.680,0.862,-0.285,0.321
1727343845793,2024-09-26T12.44.05.793,2.700,0.805,-0.344,0.377
1727343845813,2024-09-26T12.44.05.813,2.720,0.926,-0.372,0.455
1727343845833,2024-09-26T12.44.05.833,2.740,0.836,-0.364,0.488
1727343845853,2024-09-26T12.44.05.853,2.760,0.600,-0.347,0.519
1727343845873,2024-09-26T12.44.05.873,2.780,0.509,-0.374,0.602
1727343845893,2024-09-26T12.44.05.893,2.800,0.543,-0.368,0.649
1727343845913,2024-09-26T12.44.05.913,2.820,0.477,-0.358,0.657
1727343845933,2024-09-26T12.44.05.933,2.840,0.251,-0.342,0.686
1727343845953,2024-09-26T12.44.05.953,2.860,-0.028,-0.272,0.739
1727343845973,2024-09-26T12.44.05.973,2.880,-0.310,-0.181,0.832
1727343845993,2024-09-26T12.44.05.993,2.900,-0.645,-0.075,0.915
1727343846013,2024-09-26T12.44.06.013,2.920,-0.923,-0.018,0.867
1727343846033,2024-09-26T12.44.06.033,2.940,-0.741,-0.104,0.840
1727343846053,2024-09-26T12.44.06.053,2.960,-0.319,-0.104,0.871
1727343846073,2024-09-26T12.44.06.073,2.980,-0.148,-0.089,0.968
1727343846093,2024-09-26T12.44.06.093,3.000,-0.472,-0.023,0.857
1727343846113,2024-09-26T12.44.06.113,3.020,-0.681,-0.038,0.638
1727343846133,2024-09-26T12.44.06.133,3.040,-0.296,-0.056,0.896
1727343846153,2024-09-26T12.44.06.153,3.060,0.137,-0.024,1.347
1727343846173,2024-09-26T12.44.06.173,3.080,-0.525,0.183,0.881
1727343846193,2024-09-26T12.44.06.193,3.100,-0.831,-0.028,0.512
1727343846213,2024-09-26T12.44.06.213,3.120,-0.394,-0.001,0.644
1727343846233,2024-09-26T12.44.06.233,3.140,0.153,-0.060,1.426
1727343846253,2024-09-26T12.44.06.253,3.160,-0.340,0.071,1.163
1727343846273,2024-09-26T12.44.06.273,3.180,-0.846,0.061,0.553
1727343846293,2024-09-26T12.44.06.293,3.200,-0.477,0.017,0.590
1727343846313,2024-09-26T12.44.06.313,3.220,0.121,0.098,1.400
1727343846333,2024-09-26T12.44.06.333,3.240,0.245,0.076,1.204
1727343846353,2024-09-26T12.44.06.353,3.260,-0.399,0.055,0.771
1727343846373,2024-09-26T12.44.06.373,3.280,-0.251,0.069,0.851
1727343846393,2024-09-26T12.44.06.393,3.300,0.165,0.102,1.083
1727343846413,2024-09-26T12.44.06.413,3.320,0.651,-0.051,1.143
1727343846433,2024-09-26T12.44.06.433,3.340,0.098,0.052,0.920
1727343846453,2024-09-26T12.44.06.453,3.360,-0.411,0.104,0.840
1727343846473,2024-09-26T12.44.06.473,3.380,0.007,0.063,1.042
1727343846493,2024-09-26T12.44.06.493,3.400,0.260,0.035,1.067
1727343846513,2024-09-26T12.44.06.513,3.420,0.136,0.012,0.919
1727343846533,2024-09-26T12.44.06.533,3.440,-0.028,0.037,0.929
1727343846553,2024-09-26T12.44.06.553,3.460,-0.056,0.064,1.011
1727343846573,2024-09-26T12.44.06.573,3.480,0.101,0.053,1.065
1727343846593,2024-09-26T12.44.06.593,3.500,0.068,0.058,0.970
1727343846613,2024-09-26T12.44.06.613,3.520,0.013,0.039,0.874
1727343846633,2024-09-26T12.44.06.633,3.540,0.054,0.027,0.961
1727343846653,2024-09-26T12.44.06.653,3.560,0.131,0.045,1.071
1727343846673,2024-09-26T12.44.06.673,3.580,0.106,0.048,1.008
1727343846693,2024-09-26T12.44.06.693,3.600,0.009,0.071,0.928
1727343846713,2024-09-26T12.44.06.713,3.620,0.008,0.062,0.930
1727343846733,2024-09-26T12.44.06.733,3.640,0.080,0.037,0.996
1727343846753,2024-09-26T12.44.06.753,3.660,0.151,0.056,1.031
1727343846773,2024-09-26T12.44.06.773,3.680,0.034,0.084,0.954
1727343846793,2024-09-26T12.44.06.793,3.700,-0.010,0.075,0.887
1727343846813,2024-09-26T12.44.06.813,3.720,0.065,0.047,0.935
1727343846833,2024-09-26T12.44.06.833,3.740,0.119,0.067,1.012
1727343846853,2024-09-26T12.44.06.853,3.760,0.089,0.082,0.990
1727343846873,2024-09-26T12.44.06.873,3.780,-0.010,0.078,0.908
1727343846893,2024-09-26T12.44.06.893,3.800,0.061,0.054,0.928
1727343846913,2024-09-26T12.44.06.913,3.820,0.106,0.071,0.973
1727343846933,2024-09-26T12.44.06.933,3.840,-0.030,0.091,0.911
1727343846953,2024-09-26T12.44.06.953,3.860,-0.058,0.097,0.824
1727343846973,2024-09-26T12.44.06.973,3.880,0.212,0.090,0.820
1727343846993,2024-09-26T12.44.06.993,3.900,0.516,0.096,0.865
1727343847013,2024-09-26T12.44.07.013,3.920,0.470,0.108,0.794
1727343847033,2024-09-26T12.44.07.033,3.940,0.448,0.102,0.657
1727343847053,2024-09-26T12.44.07.053,3.960,0.748,0.092,0.688
1727343847073,2024-09-26T12.44.07.073,3.980,1.053,0.102,0.738
1727343847093,2024-09-26T12.44.07.093,4.000,0.899,0.115,0.515
1727343847113,2024-09-26T12.44.07.113,4.020,0.673,0.042,0.231
1727343847133,2024-09-26T12.44.07.133,4.040,0.894,-0.053,0.211
1727343847153,2024-09-26T12.44.07.153,4.060,1.171,-0.018,0.254
1727343847173,2024-09-26T12.44.07.173,4.080,1.215,-0.036,0.200
1727343847193,2024-09-26T12.44.07.193,4.100,1.150,-0.102,0.174
1727343847213,2024-09-26T12.44.07.213,4.120,1.131,-0.076,0.097
1727343847233,2024-09-26T12.44.07.233,4.140,1.059,-0.007,0.061
1727343847253,2024-09-26T12.44.07.253,4.160,0.968,-0.044,0.077
1727343847273,2024-09-26T12.44.07.273,4.180,1.001,-0.181,0.079
1727343847293,2024-09-26T12.44.07.293,4.200,1.072,-0.220,0.070
1727343847313,2024-09-26T12.44.07.313,4.220,1.073,-0.171,0.063
1727343847333,2024-09-26T12.44.07.333,4.240,0.970,-0.216,0.054
1727343847353,2024-09-26T12.44.07.353,4.260,0.957,-0.235,0.107
1727343847373,2024-09-26T12.44.07.373,4.280,0.957,-0.292,0.198
1727343847393,2024-09-26T12.44.07.393,4.300,0.852,-0.357,0.261
1727343847413,2024-09-26T12.44.07.413,4.320,0.698,-0.436,0.326
1727343847433,2024-09-26T12.44.07.433,4.340,0.635,-0.468,0.461
1727343847453,2024-09-26T12.44.07.453,4.360,0.594,-0.471,0.613
1727343847473,2024-09-26T12.44.07.473,4.380,0.450,-0.476,0.676
1727343847493,2024-09-26T12.44.07.493,4.400,0.303,-0.509,0.720
1727343847513,2024-09-26T12.44.07.513,4.420,0.112,-0.465,0.805
1727343847533,2024-09-26T12.44.07.533,4.440,0.059,-0.454,0.858
1727343847553,2024-09-26T12.44.07.553,4.460,0.267,-0.484,0.890
1727343847573,2024-09-26T12.44.07.573,4.480,0.438,-0.466,0.930
1727343847593,2024-09-26T12.44.07.593,4.500,0.211,-0.372,0.929
1727343847613,2024-09-26T12.44.07.613,4.520,-0.086,-0.336,0.866
1727343847633,2024-09-26T12.44.07.633,4.540,-0.192,-0.313,0.817
1727343847653,2024-09-26T12.44.07.653,4.560,-0.221,-0.220,0.857
1727343847673,2024-09-26T12.44.07.673,4.580,-0.286,-0.176,0.975
1727343847693,2024-09-26T12.44.07.693,4.600,-0.235,-0.125,1.085
1727343847713,2024-09-26T12.44.07.713,4.620,-0.316,-0.124,0.944
1727343847733,2024-09-26T12.44.07.733,4.640,-0.286,-0.183,0.754
1727343847753,2024-09-26T12.44.07.753,4.660,-0.126,-0.126,0.831
1727343847773,2024-09-26T12.44.07.773,4.680,-0.128,-0.056,1.052
1727343847793,2024-09-26T12.44.07.793,4.700,-0.203,-0.080,1.099
1727343847813,2024-09-26T12.44.07.813,4.720,-0.168,-0.074,1.031
1727343847833,2024-09-26T12.44.07.833,4.740,-0.159,-0.047,0.918
1727343847853,2024-09-26T12.44.07.853,4.760,-0.180,-0.005,0.914
1727343847873,2024-09-26T12.44.07.873,4.780,-0.047,-0.022,1.006
1727343847893,2024-09-26T12.44.07.893,4.800,-0.035,-0.030,0.998
1727343847913,2024-09-26T12.44.07.913,4.820,-0.166,0.000,0.892
1727343847933,2024-09-26T12.44.07.933,4.840,-0.206,0.030,0.810
1727343847953,2024-09-26T12.44.07.953,4.860,-0.057,0.007,0.898
1727343847973,2024-09-26T12.44.07.973,4.880,-0.024,0.081,1.032
1727343847993,2024-09-26T12.44.07.993,4.900,-0.142,0.093,1.003
1727343848013,2024-09-26T12.44.08.013,4.920,-0.301,0.138,0.914
1727343848033,2024-09-26T12.44.08.033,4.940,-0.410,0.208,0.859
1727343848053,2024-09-26T12.44.08.053,4.960,0.204,0.121,1.071
1727343848073,2024-09-26T12.44.08.073,4.980,0.494,0.125,1.316
1727343848093,2024-09-26T12.44.08.093,5.000,0.097,0.203,1.154
1727343848113,2024-09-26T12.44.08.113,5.020,-0.137,0.168,0.775
1727343848133,2024-09-26T12.44.08.133,5.040,-0.037,0.071,0.725
1727343848153,2024-09-26T12.44.08.153,5.060,0.277,0.096,1.033
1727343848173,2024-09-26T12.44.08.173,5.080,0.285,0.165,1.141
1727343848193,2024-09-26T12.44.08.193,5.100,0.073,0.171,0.922
1727343848213,2024-09-26T12.44.08.213,5.120,-0.124,0.113,0.728
1727343848233,2024-09-26T12.44.08.233,5.140,0.116,0.048,0.927
1727343848253,2024-09-26T12.44.08.253,5.160,0.239,0.136,1.076
1727343848273,2024-09-26T12.44.08.273,5.180,0.104,0.152,1.056
1727343848293,2024-09-26T12.44.08.293,5.200,0.026,0.136,0.904
1727343848313,2024-09-26T12.44.08.313,5.220,-0.007,0.091,0.841
1727343848333,2024-09-26T12.44.08.333,5.240,0.065,0.082,0.908
1727343848353,2024-09-26T12.44.08.353,5.260,0.164,0.134,1.021
1727343848373,2024-09-26T12.44.08.373,5.280,0.122,0.153,1.048
1727343848393,2024-09-26T12.44.08.393,5.300,0.193,0.139,1.018
1727343848413,2024-09-26T12.44.08.413,5.320,0.035,0.152,0.901
1727343848433,2024-09-26T12.44.08.433,5.340,0.001,0.117,0.881
1727343848453,2024-09-26T12.44.08.453,5.360,0.120,0.136,0.950
1727343848473,2024-09-26T12.44.08.473,5.380,0.072,0.149,0.981
1727343848493,2024-09-26T12.44.08.493,5.400,0.127,0.149,0.977
1727343848513,2024-09-26T12.44.08.513,5.420,0.117,0.152,0.934
1727343848533,2024-09-26T12.44.08.533,5.440,0.081,0.136,0.898
1727343848553,2024-09-26T12.44.08.553,5.460,0.130,0.133,0.906
1727343848573,2024-09-26T12.44.08.573,5.480,0.193,0.123,0.888
1727343848593,2024-09-26T12.44.08.593,5.500,0.354,0.101,0.854
1727343848613,2024-09-26T12.44.08.613,5.520,0.552,0.118,0.862
1727343848633,2024-09-26T12.44.08.633,5.540,0.600,0.104,0.808
1727343848653,2024-09-26T12.44.08.653,5.560,0.597,0.099,0.743
1727343848673,2024-09-26T12.44.08.673,5.580,0.702,0.108,0.664
1727343848693,2024-09-26T12.44.08.693,5.600,0.899,0.074,0.561
1727343848713,2024-09-26T12.44.08.713,5.620,0.893,0.036,0.428
1727343848733,2024-09-26T12.44.08.733,5.640,0.883,0.051,0.458
1727343848753,2024-09-26T12.44.08.753,5.660,0.901,0.118,0.433
1727343848773,2024-09-26T12.44.08.773,5.680,0.848,0.101,0.254
1727343848793,2024-09-26T12.44.08.793,5.700,0.754,0.077,0.126
1727343848813,2024-09-26T12.44.08.813,5.720,0.995,0.017,0.055
1727343848833,2024-09-26T12.44.08.833,5.740,1.251,-0.005,0.160
1727343848853,2024-09-26T12.44.08.853,5.760,1.032,0.106,0.198
1727343848873,2024-09-26T12.44.08.873,5.780,0.901,0.066,0.068
1727343848893,2024-09-26T12.44.08.893,5.800,0.872,0.025,-0.069
1727343848913,2024-09-26T12.44.08.913,5.820,0.928,0.027,-0.093
1727343848933,2024-09-26T12.44.08.933,5.840,1.218,-0.025,-0.020
1727343848953,2024-09-26T12.44.08.953,5.860,1.263,-0.052,-0.006
1727343848973,2024-09-26T12.44.08.973,5.880,1.066,-0.058,-0.091
1727343848993,2024-09-26T12.44.08.993,5.900,0.957,-0.063,-0.126
1727343849013,2024-09-26T12.44.09.013,5.920,1.029,-0.132,-0.115
1727343849033,2024-09-26T12.44.09.033,5.940,1.264,-0.219,-0.051
1727343849053,2024-09-26T12.44.09.053,5.960,1.294,-0.247,0.032
1727343849073,2024-09-26T12.44.09.073,5.980,1.147,-0.239,0.086
1727343849093,2024-09-26T12.44.09.093,6.000,0.942,-0.296,0.122
1727343849113,2024-09-26T12.44.09.113,6.020,0.801,-0.285,0.172
1727343849133,2024-09-26T12.44.09.133,6.040,0.771,-0.312,0.312
1727343849153,2024-09-26T12.44.09.153,6.060,0.735,-0.343,0.423
1727343849173,2024-09-26T12.44.09.173,6.080,0.623,-0.340,0.492
1727343849193,2024-09-26T12.44.09.193,6.100,0.504,-0.352,0.559
1727343849213,2024-09-26T12.44.09.213,6.120,0.414,-0.351,0.638
1727343849233,2024-09-26T12.44.09.233,6.140,0.335,-0.346,0.699
1727343849253,2024-09-26T12.44.09.253,6.160,0.313,-0.329,0.751
1727343849273,2024-09-26T12.44.09.273,6.180,0.282,-0.318,0.790
1727343849293,2024-09-26T12.44.09.293,6.200,0.085,-0.265,0.836
1727343849313,2024-09-26T12.44.09.313,6.220,-0.114,-0.287,0.880
1727343849333,2024-09-26T12.44.09.333,6.240,-0.079,-0.297,0.920
1727343849353,2024-09-26T12.44.09.353,6.260,0.037,-0.192,1.004
1727343849373,2024-09-26T12.44.09.373,6.280,-0.118,-0.067,1.080
1727343849393,2024-09-26T12.44.09.393,6.300,-0.311,-0.090,1.021
1727343849413,2024-09-26T12.44.09.413,6.320,-0.332,-0.083,0.864
1727343849433,2024-09-26T12.44.09.433,6.340,-0.230,-0.057,0.848
1727343849453,2024-09-26T12.44.09.453,6.360,-0.099,0.001,0.986
1727343849473,2024-09-26T12.44.09.473,6.380,-0.042,0.004,1.072
1727343849493,2024-09-26T12.44.09.493,6.400,-0.075,-0.032,0.992
1727343849513,2024-09-26T12.44.09.513,6.420,-0.164,0.059,0.885
1727343849533,2024-09-26T12.44.09.533,6.440,-0.218,0.107,0.868
1727343849553,2024-09-26T12.44.09.553,6.460,-0.118,0.196,1.076
1727343849573,2024-09-26T12.44.09.573,6.480,0.070,0.144,1.317
1727343849593,2024-09-26T12.44.09.593,6.500,0.063,0.184,1.111
1727343849613,2024-09-26T12.44.09.613,6.520,-0.171,0.189,0.768
1727343849633,2024-09-26T12.44.09.633,6.540,0.091,0.070,0.810
1727343849653,2024-09-26T12.44.09.653,6.560,-0.068,0.130,0.985
1727343849673,2024-09-26T12.44.09.673,6.580,-0.259,0.184,1.032
1727343849693,2024-09-26T12.44.09.693,6.600,-0.243,0.185,0.942
1727343849713,2024-09-26T12.44.09.713,6.620,-0.347,0.121,0.806
1727343849733,2024-09-26T12.44.09.733,6.640,-0.130,0.042,0.920
1727343849753,2024-09-26T12.44.09.753,6.660,0.077,0.079,1.059
1727343849773,2024-09-26T12.44.09.773,6.680,-0.054,0.119,1.062
1727343849793,2024-09-26T12.44.09.793,6.700,-0.233,0.148,0.938
1727343849813,2024-09-26T12.44.09.813,6.720,-0.232,0.128,0.854
1727343849833,2024-09-26T12.44.09.833,6.740,-0.008,0.104,0.948
1727343849853,2024-09-26T12.44.09.853,6.760,0.111,0.109,1.029
1727343849873,2024-09-26T12.44.09.873,6.780,0.032,0.133,0.982
1727343849893,2024-09-26T12.44.09.893,6.800,-0.193,0.169,0.891
1727343849913,2024-09-26T12.44.09.913,6.820,-0.225,0.157,0.883
1727343849933,2024-09-26T12.44.09.933,6.840,-0.052,0.135,0.965
1727343849953,2024-09-26T12.44.09.953,6.860,0.072,0.128,1.004
1727343849973,2024-09-26T12.44.09.973,6.880,-0.035,0.142,0.964
1727343849993,2024-09-26T12.44.09.993,6.900,-0.196,0.149,0.905
1727343850013,2024-09-26T12.44.10.013,6.920,-0.145,0.134,0.913
1727343850033,2024-09-26T12.44.10.033,6.940,-0.032,0.135,0.974
1727343850053,2024-09-26T12.44.10.053,6.960,0.015,0.140,0.999
1727343850073,2024-09-26T12.44.10.073,6.980,-0.077,0.147,0.930
1727343850093,2024-09-26T12.44.10.093,7.000,-0.126,0.144,0.895
1727343850113,2024-09-26T12.44.10.113,7.020,-0.088,0.144,0.939
1727343850133,2024-09-26T12.44.10.133,7.040,-0.045,0.146,0.972
1727343850153,2024-09-26T12.44.10.153,7.060,-0.047,0.154,0.985
1727343850173,2024-09-26T12.44.10.173,7.080,-0.109,0.150,0.961
1727343850193,2024-09-26T12.44.10.193,7.100,-0.096,0.147,0.937
1727343850213,2024-09-26T12.44.10.213,7.120,-0.115,0.140,0.937
1727343850233,2024-09-26T12.44.10.233,7.140,-0.098,0.145,0.962
1727343850253,2024-09-26T12.44.10.253,7.160,-0.046,0.145,0.967
1727343850273,2024-09-26T12.44.10.273,7.180,-0.049,0.143,0.944
1727343850293,2024-09-26T12.44.10.293,7.200,-0.106,0.136,0.922
1727343850313,2024-09-26T12.44.10.313,7.220,-0.119,0.147,0.927
1727343850333,2024-09-26T12.44.10.333,7.240,-0.115,0.161,0.921
1727343850353,2024-09-26T12.44.10.353,7.260,-0.152,0.190,0.905
1727343850373,2024-09-26T12.44.10.373,7.280,-0.139,0.210,0.872
1727343850393,2024-09-26T12.44.10.393,7.300,0.136,0.188,0.907
1727343850413,2024-09-26T12.44.10.413,7.320,0.279,0.198,0.922
1727343850433,2024-09-26T12.44.10.433,7.340,0.232,0.233,0.789
